ISBN,Title,PublicationPlace,PublicationDate,Edition,AuthorNames
,20s & '30s Style,London,1989,,Horsham Michael
0807840769,76 One World and the Cantos of Ezra Pound,Chapel Hill,1981,,Read Forrest
1898864012,...And Still They Weep: Personal Stories of Abortion,,1996,,Symonds Melanie
9780713670110,...Isms: Understanding Art,London,2004,,Little Stephen
0471933384,1 hour Web Site: 120 Professional Web Templates and Skins,Hoboken N.J.,2007,,Utvich Michael; Milhous Ken; Beylinson Yana
00FAB1A4,10 things You Need to Know About Losing Weight,,6-1-11,,BBC Education
0435187996,100 + Ideas for Drama,London,1978,,Scher Anna; Verrall Charles
9781874504139,100 Amazing years,London,1996,,Daily Mail
1844570053,100 American independent films,London,2004,,Wood Jason
9780285621275,100 Great Books - Masterpieces of all Time,Bristol,1974,,Canning John
0713479493,100 Great Calligraphy Tips,London,1996,,Kastin Judy
1850283079,100 greatest women,London,1995,1ST,POLLARD Michael
0826494404,100 ideas for supporting pupils with dyspraxia and DCD,,2007,,Kirby Amanda; Peters Lynne
0826484786,100 ideas for teaching creativity,London,2005,,Bowkett Stephen
9780826486530,100 Ideas for Trainee Teachers,London,,,Cooze Angela 
9036614856,100 most beautiful cities of the world:  a journey across five continents,,2005,3,
1842360825,1000 facts on human body,,2002,,Farndon John
1842360825,1000 facts on human body,,2002,,Farndon John
0706433270,1000 Micro-wave recipe cookbook,London,1988,,Bowen Carol
9780753407691,1000 Years of famous People,London UK,2002,,
9781844036813,1001 Video Games You Must Play Before You Die,London,,,
9781884133930,1001 Visual Basic Programmer's Tips,Albany NY,2001,2nd,Coombs Ted
0469917035,101 activities for teaching creativity and problem solving,,2005,,VanGundy Arthur B.
1562533584,101 Salon Promotions,Albany NY,1999,,Oppenheim Robert
1580080685,101 Toughest interview questions,Berkeley California,1999,,Porot Daniel
1842996711,101 ways to get your child to read,Edinburgh,2009,,Morpurgo Michael; Thomson Patience
0966234138,104 Activities That Build,Richland WA,1998,1998,Jones Alanna
048905,1066 The Year of the Three Kings,London,1966,,Warren Wilfred Lewis
1405120703,150 Contractual Problems and their Solutions,Oxford,2005,2nd,Knowles Roger
9780486210322,150 Masterpieces of Drawing,New York NY,1963,,Toney Anthony
9780198335344,16-19 Society,Oxford,1987,,Keyte Pen
0340124210,1914-18 in Poetry : An Anthology,London,1970,,Black Edward Loring
9780233963693,1939 the Making of the Second World War,London,1973,,Aster Sidney
0852905947,1992 A zero sum game - business know-how and training challenges in an integrated  : Europe,LONDON,1990,,Rajan Amin
,1993: Britannica Book of the Year,Chicago USA,1993,15th ed,Encyclopaedia Britannica 
0810905434,20000 Years of World Painting - A comprehensive historical survey from cave painting to modern art,Netherlands,1967,,Joffe Hans L. C.
9780749466084,20:20 Project Management: How to Deliver on Time on Budget and on Spec,London,2012,,Marks Tony
9780761963486,200 Science Investigations for Young Students,London,2001,,Wenham Martin
9780761963486,200 Science Investigations for Young Students,London,2001,,Wenham Martin
9780761963486,200 Science Investigations for Young Students,London,2001,,Wenham Martin
9780199132850,20th Century Britain,Oxford,1983,2nd,Robson W.
0500015643,20th century fashion,London,1993,1ST,Peacock John
NEI098142,20th Century Fashion A scrapbook 1900 to Today,London,1975,,Carter Ernestine
075022097X,20TH CENTURY INVENTIONS CARS,England,1997,1ST,Oxlade Chris
075022097X,20TH CENTURY INVENTIONS CARS,England,1997,1ST,Oxlade Chris
9783822855140,20th Century Photography Museum Ludwig Cologne,Cologne,2001,,Misselbeck Reinhold; et al
0205273602,21st century leisure: current issues,Needham Heights MA,2000,,Freysinger Valeria J.; Kelly John Robert
V163,23 Week Babies: The Price of Life,,,,BBC
074726693X,2ND CHANCE,LONDON,2003,,Patterson James
V121,3 year old observed: (Child Observation No. 2),,2007,,
,3 year old observed: Child Observation no. 2,Newcastle-upon-Tyne,1998,,
0749423595,30 minutes - before a presentation,London,1997,,Forsyth Patrick
0749423676,30 minutes - to boost your communication skills,London,1997,,Tierney Elizabeth
0749423579,30 Minutes - to make the right decision,London,1997,,Smith Jane
,30 years of regional trends,,,,Office for National Statistics
9780340999974,32C That's Me,London,2010,,Higgins Chris
085202536X,350 Legal Problems Solved,London,1995,,Richards Keith
1883319897,375 essential oils for aromatherapy,Berkeley Calif.,1999,,Rose Jeanne
0735712433,3D Graphics & Animation,Indianapolis Ind.,2002,2nd .,Giambruno Mark
0764579711,3ds Max 7 bible,,2005,,Murdock Kelly L.
0140222677,4. FROM DRYDEN TO JOHNSON,lONDON,1982,,Ford Boris
0955054125,40 Successful Personal Statements for UCAS Application,Norwich,2006,,Cambridge Occupational Analysts
9780194786126,47 Ronin: A Samurai Story from Japan,Oxford,2014,,Bassett Jennifer
0749923628,48 Hour detox - two days to a new you,LONDON,2002,,Scrivner Jane
